code,description,detailed_description,address,X,Y,category
2D6,Trail Access,"Path in an undeveloped city park and its neighboring woods. Trail beginning: At the very end of Hebert St. opposite Stone Meadows Condos, there is a distinct path which takes you up to the open field of the city park. At that point the path disappears but walking along the edge of the open areas next to the woods. you will come to a path which descends into the woods: the woods itself descends minus a trail to the Barre-Montpelier Rd. Fairly soon you will come to a path to the left which will take you to the bottom of Isabel Circle. The paths forward which meander sidewards and downwards gradually fade out. Beyond, bush- wacking is possible, but I have not done extensive bush-wacking so you are on your own if you do so.",,44.24299,-72.558225,Recreation
3A1,Gravestones & Sculpted Rock,"Gravestones and sculpted rock outcroppings in the eastern section of Green Mountain Cemetery (The best well known sculpture of the Green Mountain Cemetery is of the young girl Margaret, which is worth visiting several times, located off the road up the hill on the east or the right side very close to the upper northeastern corner. There is one other nice sculpture of a woman nearby slightly down the east side of the hill from Margaret and another easy to find sculpture in this area is of a mourning woman standing over a lying down figure of Jesus on a rock slab with the label The Resurrection. The rock outcropping which has been sculpted you may want to walk to is also on the eastern side, but is very low next to Route 2.",,44.256661,-72.594241,Art
3A4,Vermont Arts Council Art Garden,A sculpture garden is located on State St. between the Visitor Center and the Arts Council building itself often open with art works displayed; (The sculptures are changed so no specific descriptions are listed here. The Arts Council building was ‘the childhood home of Senator Leahy.’,,44.261407,-72.583148,Art
3A7,Garden,Garden behind the state house accessed on a path just west of the State House,,44.262538,-72.580017,Flora & Fauna
3B1,Artisan's Hand Sculptures,"Sculptures located in front of Artisans’ Hand, a part of City Center on the corner of State and Main Streets. (five larger sculptures, my favorite being the seals; What is your favorite?)",,44.260165,-72.575092,Art
3B3,City Hall Clock,"Montpelier City Hall: Most Montpelier residents know well the City Hall, but I imagine few have viewed the massive mechanical clock inside in the tower. After the Pandemic, a small group may request the City Hall’s custodian to take you up inside the tower as he did for a small group on a ‘Walks with Harris.’ Maybe you will be lucky as wewere or maybe not.",,44.259307,-72.575832,
3B4,Park Access,"HGD #27 East State St. (narrow, small home on small lot packed with flowers; small is beautiful)",,44.258325,-72.573874,Recreation
3B12,Mural,"On the back of the Montpelier Rec Center there is a Mural entitled Celebrate the Arts. (Which person depicted in the Mural isyour favorite? Mine is the short girl on the stool with the glasses.) P.S. On October 15th I looked at the faded murals on the back of Walgreen’s Pharmacy for the only time in my 24 years here. Except for the obscene
graffiti on one panel, the others are sort of fun even though faded. I liked the one with the balloon. I’m tempted to ask Walgreen to spruce them up. Would that be awesome?",,44.256801,-72.575572,Art
3B13,Tree,Catalpa tree located on the eastern side yard of #31 E. State St. (Note the big leaves.),31 E State Street,44.259323,-72.573589,Flora & Fauna
3C3,Tree,"Large Gingko tree located outside the brick office building at #143 Barre St. (one of my favorite two trees in Montpelier; After you have viewed several trees, what is your favorite tree or trees.)",143 Barre,44.255038,-72.572657,Flora & Fauna
3C10,Historic Mansion & Hidden Walkway,"A large historical mansion (in index listed as historical home) at 100 East State St. (‘built by those with wealth from granite manufacturing at the turn of the19th-20th century, a building fulfilling several different functions from a college dorm to a college president’s home and now a center for a law firm.’ It has a hidden 3 level stone walk entrance well below the main entrance, an impressive pine in front of mansion and you may scare up a large number of deer in a deer yard behind the mansion. However, it is not recommended for ordinary walkers to explore the many unpathed slopes of these woods.)",,44.257706,-72.56958,
3D1,"College Hall, CFA","College Hall the dominant CFA Building next to the CFA Commons (Note in the office on the left side on the main entrance you probably can pick up the Self-Guided Historical Walking Tour of most of the current college buildings. Climb the stairs to see the high ceiling marvelous auditorium with organ, and if you are lucky you can enlist
the help of the responsible administrator person to take a small group of walkers to the lookout room on the roof.)",36 College Street,44.255095,-72.56773,
4A8,Wrought Iron Bench,"Wrought iron chair-like bench on Terrace] St’s east side just up-north of the Redstone Mansion entrance (My favorite bench; I love the
hummingbird design.)",,44.265517,-72.586253,Art
4A14,Silver Maple,Silver Maple tree at 43 Terrace St. and a nice tree (cottonwood?) at 45 Terrace,43 Terrace St,44.267049,-72.587217,Flora & Fauna
4A11,Redstone Entrance Gate,"Redstone’s Entrance Gate to a path up to the Redstone Mansion, the gate being at the west end of Baldwin St. off Terrace Rd. (the Mansion has a long interesting history. I recommend you read it after ‘googling’ Redstone Mansion, Montpelier.)",,44.263598,-72.585282,Recreation
4B5,Meditation Park,"Mini meditation park ‘Courage of Blooms’ (off the west side of #10 Baldwin St., where a Queen Anne’s Style building of a state office building is located (nice benches, sculpture and engraved poems in this meditative park)",10 Baldwin St,44.262832,-72.582823,
4C5,Mill Pond Park,"Two other views of the North Branch, one from a public-canoe launching mini park (no sidewalk access) between Summer St. and  Pearl St.’s intersection with Elm St.; another but a different narrow perspective view of the North Branch from the sidewalk of the house just north of Birchgrove Bakery (also a pleasant view of its side yard seen through some evergreen trees.)",337 Elm St,44.268113,-72.569408,Recreation
4C12,Elm Court Park,Elm Court Park located at NW Corner of Elm and Court St. (‘a small is beautiful’ parklet on a busy corner selected because  busy corners need beauty also),,44.261749,-72.575521,
4D1,Hubbard Park Access,"As mentioned, Hubbard Park is both well-known to Montpelier folk with many well-marked trails (finally) which are not often noted] in this booklet. However, I am including in Sub Area 4D a path from the south side of Finch Rd (formerly known as City Dump Road) almost directly across from the entrance to the North Branch Nature Center). There is a fairly clear trailhead sign a just short distance from the Elm St.-Finch Rd. intersection eventually heading up to the well-known New Shelter. The trail is fairly easy to follow except in fall foliage season when once I got lost for a short while. This trail seems not as poplar, but has some nice views of more than the dump. Also, it has at least one marked side trail back to North Park St. and Elm.",,44.28463,-72.576011,Recreation
4A15,Tulip Tree,"HGD at the northwest corner of Clarendon Ave. and Dwinell St. (I was informed this was built in the Edwardian style, perhaps because it was a fine home built in the very early 20th century when Edward was Britain’s King. Edwardian homes according online sources are more difficult to identify, but this home does feature gardens including a permaculture garden, balconies and  porches often typical features of this style. There is a small to medium nut tree. I believe I was told it was a black walnut tree, but I very well might be wrong.) ",Liberty @ College St,44.258185,-72.562443,Flora & Fauna
5D6,Trail Access,"Path to connect with Sabin’s Pasture trails through to the Elks Club
Golf Course; Across from a small square house on the corner of
Greenock and Dyer there is a mowed path through a field continuing to a short path through woods which bumps into the Sabin’s  Pasture to  50 Elk Golf Club trails. Bear to the right on the short path before you get to the main trail and on the way back bear to the left on the short trail. Note the location of the key turn as there are a few other ways to head back toward streets connected to the Towne Hill Rd area. You will need to do some exploring as there is more than one paths on this corridor of paths. The views are spectacular especially on the Sabin’s Pasture trails. Remember you can enter also behind the College of Fine Arts as described in 3D designations, but this Greenock entry has fewer climbing challenges.",,44.256751,-72.551858,Recreation
5D10,Water Tower,"Path in woods beyond the Water Tower which is located at the end of an unnamed public road with gate off the private Connor Rd. While on Connor Rd if asked (I’ve walked there many times  and have never been asked) why you are there, tell them you are walking to the Water Tower. As you circle the Water Tower you will see a trail in the the woods eventually to an open field which then circles back to the Water tower. There is another trail south of the Water Tower which heads east that I have never gone on.",,44.265533,-72.548747,Recreation
